Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecasted_week1,forecasted_week2,forecasted_week3,forecasted_week4,forecasted_week5,forecasted_week6,forecasted_week7,forecasted_week8,forecasted_week9,forecasted_week10,forecasted_week11,forecasted_week12,forecasted_week13,Error,Missing Weeks,Uncertainity Score,Certainity Score,Novelity Score,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Loan Amt.
23.0,222446,224385,165878,85609,88645,105090,118154,92065,37940,126483,90177,68606,122439,182413,253435,79122,90365,77105,67946,71960,90244,90199,197683,163837,190722,238669,240484,191939,245788,199929,134843,97195,99576,76963,27196,16647,15805,5928,22942,27599,9083,21677,102108,58059,13838,1577,26726,41489,98504,64776,65222,103845,95056.9119393133,89262.12429842124,85356.82491143502,82683.58834737066,80833.34271180475,79542.59921668754,78637.11465707235,77999.36471803383,77548.9124181203,77230.11029234143,77004.15880899646,76843.85226116667,76730.03667473255,4.0,0,0.1,0.1,0.2,81132.995481192,True,-0.26168916092843114,1.038310839071569,True,369155.0
28.0,685,239,0,0,0,0,0,0,0,0,219,1545,1014,1610,4674,4985,4726,5438,5271,4581,5355,5876,6541,7035,7059,7879,8365,9021,8753,7982,6980,6247,5651,5660,4922,4525,3630,5415,3654,3390,3811,3068,3734,3578,3380,2816,2704,2911,2974,2467,2146,1789,1710.3191173406492,1640.3917094685842,1578.8003982820474,1524.3703527217326,1476.1217617885984,1433.2326784063696,1395.009763857521,1360.8650962322238,1330.2976666524667,1302.8785241794471,1278.238779198469,1256.0598601998247,1236.0655575706985,1.0,8,0.4,0.4,0.022222222222222223,1424.8193281460485,False,-0.2947817826664701,0.12744043955575216,False,0.0
29.0,160209,288541,245615,103816,88117,18287,39473,30531,9230,130717,137500,192348,268228,256716,218148,144185,189496,114855,196919,174548,233122,134728,172427,131040,135308,98721,143354,116542,150964,143779,142445,126220,112735,64815,87083,115775,146783,104644,10722,5364,11207,0,0,0,0,961,436,0,1046,957,0,381,66.62776088356773,57.08867765152999,48.91530306257206,41.91210888275228,35.911560616370345,30.770109648048653,26.3647591890322,22.590121876271535,19.35589863445798,16.584718488878195,14.210287651831386,12.175803603974858,10.432596231326887,1432258755.0,6,0.05,2.792791446403133e-10,0.028571428571428574,30.995362032354933,False,-0.2908799716301346,-0.2623085427794269,False,0.0
30.0,68938,88902,81717,70308,35725,224862,506979,623627,336218,667226,576925,566852,535939,693865,648699,620583,825393,525817,616135,659289,667842,507179,622178,662226,596386,411353,353841,294076,426354,338551,382925,330501,275243,159035,45225,26585,0,0,9165,8895,6839,18725,11630,0,0,30778,18301,20448,20471,23328,16742,69206,180862.01326253806,11838.08765269602,11308.095804499162,10801.831721072755,10318.233109057155,9856.285234026023,9415.018791270197,8993.50787190671,8590.868020045224,8206.254376935214,7838.859908199805,7487.9137104364445,7152.679393631145,28340.0,4,0.05,1.4114326040931547e-05,0.04,22513.04991202415,False,-0.14699549001191545,-0.10698137568587451,False,0.0
31.0,1184,556,489,126,0,0,9939,21588,13487,39463,31485,40841,53008,21985,5956,4029,4881,4732,4758,5598,7461,7483,8741,13223,13277,14762,14704,7590,6311,6520,6537,6066,5153,2615,2926,2763,2970,2966,2032,3009,1966,2521,3203,2807,6643,8480,7974,7361,6346,1995,2824,1553,1989.178808068428,2361.1941689875657,2659.7259538795756,2888.963882224072,3059.676338711958,3184.1225374656356,3273.506390323246,3337.0485158576776,3381.8977872652627,3413.396244991226,3435.4419008936884,3450.8346017623494,3461.564188812013,1.0,2,0.4,0.4,0.06666666666666667,3068.965486095592,False,0.27014873197304456,0.7368153986397112,True,7979.0
32.0,47313,260600,455277,393747,309626,247768,266480,224656,130100,381917,370325,329635,361865,494830,927472,622467,451606,321065,364764,359381,347423,295072,271228,326396,329426,218596,225180,148730,102349,103822,114302,98629,133850,49899,58720,80866,54532,100014,68320,52901,2338,4889,3149,0,0,0,0,0,43349,76395,71221,65841,62476.44648144191,59764.56487784715,57562.99665118846,55764.37645046644,54287.07598783321,53068.19338893505,52058.671900314366,51219.842458577565,50520.93530642243,49937.26206040567,49448.86885765724,49039.52534812617,48695.95644208501,2174610.0,5,0.05,1.8394102850626091e-07,0.03333333333333333,53372.67047779236,True,-0.28667041409651184,0.74666310317785,True,242846.0
34.0,2000,0,647,8344,3273,0,8025,19233,7153,14494,19883,16054,17957,38002,26632,33937,79391,40485,76220,77328,111740,62633,99756,77265,90544,57367,79355,81786,86650,97211,115352,133004,78746,36864,8088,9627,9803,2384,0,3631,0,2708,2036,632,8955,10223,3389,1904,10469,3378,1645,4413,3879.0452908741854,4081.561235610984,4294.6500674365525,4518.863772228039,4754.783153763133,5003.019338235717,5264.215357318791,5539.04781387542,5828.228634632603,6132.5069143581495,6452.670856317773,6789.5498140389145,7144.01643967034,1006.0,4,0.05,0.00039761431411530816,0.04,5360.166052950814,False,0.29894093013829365,0.33933854445240896,False,0.0
35.0,31883,30625,32996,29390,9280,20319,15127,16941,8639,22866,13360,17460,19834,28244,36040,26700,18882,5928,12307,21588,30134,28824,27121,27871,64070,19994,14403,12013,13174,20440,34234,62327,27132,18083,17134,28605,64731,38588,36324,12698,10852,0,0,0,0,4133,5283,3084,1785,655,555,386,354.93190978520533,325.52108677977554,298.54734110103686,273.8087285227032,251.12003857990143,230.31140795477737,211.22704876152108,193.72408220986915,177.67146891507744,162.94902784592034,149.4465365658788,137.06290603129685,125.70542376847112,258823.0,4,0.05,1.5454577066180363e-06,0.04,222.46361590934112,False,-0.2969894250326306,-0.25698787957492397,False,0.0
36.0,4178,5301,6730,6527,6535,7820,7283,7790,5369,12633,9805,9148,9173,9795,9265,9646,8092,7791,8239,9020,9477,9169,9009,9370,9831,9616,9837,8570,7661,6650,6159,5278,3908,3291,2476,1987,1884,2560,1916,2104,1718,1372,979,938,666,538,615,583,493,1235,1797,2084,2132.944589495568,2179.8313367527035,2225.639180507954,2270.3514967047336,2313.955824093987,2356.4435893305713,2397.8098339904373,2438.0529455921287,2477.1743943880274,2515.1784773970503,2552.072070881853,2587.864392229753,2622.5667719772327,1.0,0,0.4,0.4,0.2,2389.9911464109227,False,0.29969282803820396,0.8996928280382039,True,6214.0
38.0,0,202,1402,636,43,204,0,936,1381,6886,1871,815,1138,1956,7863,7914,6974,13998,17000,17487,17142,10254,14186,16033,16087,11105,16720,18502,19739,15227,22141,17603,18421,10872,7056,4404,4614,1698,1648,1887,1470,1324,1282,3044,1050,1589,1760,2830,434,843,655,1506,1231.1023556763303,977.4232889860716,621.4601265449131,508.8659593696742,567.0785289785625,799.8150265582944,1084.7157284652178,1141.1869026688928,903.0963539962794,640.6735902304399,518.9668404881465,549.8370578152264,716.622524146163,1.0,2,0.4,0.4,0.06666666666666667,789.2957141480164,False,-0.10718270960939512,0.35948395705727154,False,0.0
39.0,338,43,0,0,0,0,0,0,0,0,0,309,310,920,875,1023,1203,1110,1296,2163,2200,2653,3922,4274,4319,3877,4119,3697,3107,3192,3356,3351,3284,2681,2947,2459,2915,2886,2262,2386,2432,1620,1802,1754,2335,2017,2195,1973,1781,1980,1762,2166,2247.274639441514,2330.522983422698,2416.855190254455,2506.3854989669735,2599.232380476439,2695.518694351591,2795.3718513875547,2898.9239822020877,3006.3121120773203,3117.678342278362,3233.1700380887014,3352.9400238112066,3477.146784992775,1.0,9,0.4,0.4,0.02,2821.333270903975,False,0.29945664295726526,0.7194566429572653,True,7335.0
40.0,0,0,0,1174,3004,5460,4398,4126,1852,5258,4829,3903,1749,4634,5650,6493,10230,11639,9693,10459,12953,15751,17420,11159,7002,9734,9439,9616,8407,7664,7374,5297,5675,4692,3217,3679,2328,9594,15519,17956,17959,14895,13854,3784,0,0,0,0,5594,11868,6102,12587,9209.52725733474,5619.928581201448,3934.4515168538815,3041.6170501563715,2525.8860305688595,2208.844834954593,2005.0126965722106,1869.6647018801455,1777.6751993964856,1714.0962884555388,1669.618302709476,1638.2298389967405,1615.9387177871295,32459.0,7,0.05,1.2323238547090176e-05,0.025,2986.9608474513557,False,-0.23440480371529823,-0.20939248047675116,False,0.0
43.0,16751,7644,6756,6455,8283,9646,12433,12119,7517,22686,15076,14892,15685,17261,17061,17225,16537,17444,16736,17949,20886,18917,34234,38104,41132,46513,45527,49257,43349,47059,48754,45263,43285,40447,17217,6816,4305,3737,7256,4974,2653,2944,8804,2026,1829,1788,2119,4248,4697,4645,3606,6886,7302.355223820043,7691.332113791833,8053.325971899472,8388.33915450111,8696.85727625882,8979.736544754867,9238.104776505705,9473.276991633069,9686.685343482044,9879.822412852007,10054.196486337094,10211.297257306443,10352.570364052926,1.0,0,0.4,0.4,0.2,9077.530762861188,False,0.29665955479900713,0.896659554799007,True,35402.0
45.0,4387,2531,2286,1938,1125,2578,2893,704,882,7917,13253,6461,9569,28743,38571,34151,39176,42279,38568,43092,44443,32674,32673,36008,37535,36377,33809,36315,33738,26913,25206,25582,23531,20129,23424,20446,20110,16233,14754,14796,12735,16927,34448,25185,18638,16228,21590,16546,16140,19578,18225,21962,20864.458533163517,19928.00662428255,19125.636621295365,18434.998363156075,17838.094418000048,17320.30969577199,16869.68214795854,16476.349213500376,16132.123713277622,15830.16602955736,15564.728569130477,15330.954969986438,15124.721114521171,1.0,0,0.4,0.4,0.2,17295.40230873858,False,-0.29249240947126803,0.307507590528732,False,0.0
47.0,5971,6220,6501,5615,4452,4991,4779,5270,4241,8967,5588,6021,5640,5624,6351,7627,6107,6257,10165,8357,9135,7652,5998,8219,10151,10199,12149,8785,6842,5142,4918,4807,3401,3333,2411,2475,2089,1575,101,500,742,1181,1235,1445,976,2587,3147,4224,5124,4556,3692,5214,5010.7782928871575,4851.791021420524,4727.15324911639,4628.892618303562,4551.074534986952,4489.219901884272,4439.908457970204,4400.502735937791,4368.952177012405,4343.651641795837,4323.337566627665,4307.0106555561515,4293.877598672711,1.0,0,0.4,0.4,0.2,4518.165419397817,False,-0.28158134988114436,0.3184186501188557,False,0.0
48.0,1592,3749,2874,2288,2051,2612,4314,2549,1484,4209,4105,4169,4414,5188,6583,7504,8854,6665,9091,10301,11697,8959,9939,9069,7828,8341,10848,12006,10160,11732,9712,8230,8727,8978,6600,7817,8112,8219,8887,7112,4579,4327,4984,4770,5696,2619,1332,4685,5777,5270,3414,2248,4011.045032679545,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,5331.1301196512095,1.0,0,0.4,0.4,0.2,5229.585112961081,False,0.13887301496588275,0.7388730149658829,True,13597.0
49.0,50934,34179,39613,43930,33415,34686,32167,35740,1126,46060,33556,29380,34129,30861,35340,33626,41324,35086,39472,38529,39340,46572,38519,41755,34771,30569,35726,42826,39989,45858,43999,40727,39923,42378,42061,39263,28652,20379,32347,24027,16973,19412,16729,0,6660,12834,23187,23694,27947,30966,23940,30225,25212.470620245807,25068.566723910288,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,24635.7430052963,5075.0,1,0.05,7.881773399014778e-05,0.1,24713.4008001858,False,-0.1882251037807899,-0.08814628604679975,False,0.0
50.0,7456,3380,923,1051,2165,8438,0,8245,0,3124,2317,976,21367,55369,35013,79673,48690,58838,82771,104721,25383,0,66057,139156,206733,111726,195371,132499,132115,130778,154354,126919,81701,71183,47851,56961,46895,27204,18641,17767,13492,13417,24337,15668,27458,31771,15403,25189,18378,14008,3143,9020,7672.465259145255,10982.808226725556,13278.056599642203,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,13460.012488080016,1.0,3,0.4,0.4,0.05,12810.265766639475,False,0.18197051057422844,0.6319705105742285,True,49960.0
52.0,1794,3367,2296,3007,419,4628,135563,201426,0,0,60663,239044,152303,264802,200783,593077,151934,125941,77415,31180,185670,71180,80895,99636,97008,21412,110954,209800,207689,181537,166761,135322,129508,35398,5479,984,2330,14391,0,2361,32923,65538,18908,37917,42883,22700,18451,30277,10843,7811,11439,23230,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,18641.4918531709,2.0,3,0.3,0.2,0.05,18641.491853170905,False,0.0,0.25,False,0.0
55.0,704,704,705,716,520,1422,734,787,573,1274,575,247,0,0,475,132,0,0,0,1264,1444,1041,1347,450,991,801,2232,1368,1010,1454,851,511,738,773,859,658,717,671,590,858,611,126,228,0,2319,2482,1680,968,986,1042,1509,1689,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,371.75514078998566,72.0,6,0.05,0.005555555555555556,0.028571428571428574,371.75514078998555,False,0.0,0.03412698412698413,False,0.0
56.0,1209,421,791,664,574,763,1063,1063,658,1229,1048,999,941,1111,1059,1058,1111,940,669,858,797,599,770,785,1646,2545,2922,3276,3277,2974,3030,3202,3055,2728,2421,1917,2257,2073,1889,1664,1396,1537,1667,2085,1952,2074,1661,1659,1637,1595,1044,1281,1292.5751794645394,1301.558754145322,1309.1812082830454,1315.6422951405332,1321.1143404870847,1325.745445931057,1329.6624951145077,1332.9739103685247,1335.7721377796852,1338.135858578058,1340.131937284668,1341.817124377067,1343.2395349874887,1.0,0,0.4,0.4,0.2,1325.196170918583,False,0.28944889683133734,0.8894488968313374,True,3446.0
58.0,36042,28240,48165,80907,92459,63894,30708,39350,32644,62804,69499,60160,102745,70784,9994,6295,22657,43066,98681,37313,62950,61341,69090,60790,61224,67772,85722,74254,100971,95801,94641,83648,36196,0,31102,21840,38166,27068,26771,19485,20503,24795,25661,9096,6448,3259,10783,13064,13185,8304,11027,7105,6883.318033095158,6667.614289999021,6458.670092889568,6256.273616690006,6060.219674323082,5870.30950869493,5686.350591197554,5508.156426525678,5335.546363610079,5168.345412475736,5006.384066839136,4849.498132264865,4697.528559707298,1.0,1,0.4,0.4,0.1,5726.785751408623,False,-0.29958327183431716,0.20041672816568287,False,0.0
59.0,18425,3963,6818,7638,3668,3001,1937,2538,841,3083,5196,5751,6685,6527,6106,9440,15905,7098,5830,9167,5477,5004,73468,115414,116021,106652,84041,85115,109853,127073,110212,73595,49833,15568,9823,13677,14453,6209,6419,5311,7020,6344,8858,6707,9054,6917,8368,7374,7220,7355,5793,6341,6193.36358247398,6071.398123295998,5951.8345210467105,5834.625476132079,5719.724620425535,5607.0864989246575,5496.666551769086,5388.421096612556,5282.307311342071,5178.2832171374,5076.307661864167,4976.340303793989,4878.341595645211,1.0,0,0.4,0.4,0.2,5511.900043112571,False,-0.2998370369281686,0.30016296307183143,False,0.0
60.0,54683,37994,32169,42626,34980,39848,33208,45646,14057,36845,18669,21066,19180,23919,46784,55910,47739,51457,31114,34958,91162,113102,119363,103024,107616,100687,112725,139415,129947,129606,110552,89837,38533,0,40157,67915,77860,72990,67502,42243,44572,21472,71079,0,0,0,10784,27623,43348,33109,19058,24980,24600.17756248058,24225.16056625329,23855.860510365237,23492.190243014844,23134.063940984724,22781.39708938809,22434.10646172394,22092.11010023627,21755.327296572726,21423.678572738085,21097.08566233809,20775.471492109227,20458.760163730065,21887181.0,4,0.05,1.8275537630908248e-08,0.04,22471.183820148857,False,-0.29990273267288126,-0.25990271439734364,False,0.0
62.0,1250,773,536,500,435,464,251,215,153,385,271,269,502,656,1396,2066,2827,2938,1727,0,1752,2277,1939,2264,2211,2908,4452,4247,4087,4392,4339,2357,3125,3136,3698,3344,1759,1656,1762,1795,2176,2800,2129,1467,1552,1506,1354,1679,1035,1005,161,1129,869.9435807971307,897.6994367792119,922.1727267848589,943.6615892176408,962.4624845011284,978.8612432671337,993.1272372933928,1005.5099427333608,1016.2372769547832,1025.5152056837956,1033.5282240758731,1040.4404081771359,1046.3968103254374,1.0,1,0.4,0.4,0.1,979.6581666608371,False,0.2925291810256791,0.792529181025679,True,2547.0
66.0,1978,42665,39700,55542,28822,51049,58007,71972,44111,73102,64164,74321,47455,66947,118417,88059,152965,88568,106017,111211,97117,115997,129845,202320,193183,184520,211470,262360,227871,218648,220604,148554,85430,59749,38646,35322,25028,15650,15468,20712,14311,15755,9388,13724,14710,15294,12470,15895,17362,17735,14896,16625,17704.60446652058,19957.473333048787,18854.311702218645,20400.57193853833,21080.208023349518,23947.91617150207,24170.636670366144,26356.701247066154,27155.988918507257,30462.32402626832,31667.40227623867,34837.1080830599,36246.18770854146,1.0,0,0.4,0.4,0.2,25603.187274248143,False,0.29393184208972395,0.893931842089724,True,99852.0
67.0,4850,25662,14671,16957,5944,28123,5610,3151,996,0,0,0,0,4724,12179,5288,8439,4105,5907,56284,53330,21922,57350,129626,110585,87288,105043,157217,107026,96313,84804,51370,7588,0,0,6311,2854,2813,3822,3565,899,15611,4569,0,0,0,141,4712,5613,5692,1223,3401,3388.777792265534,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,2151.132738928756,3780.0,9,0.05,0.00010582010582010582,0.02,2246.3362045700464,False,-0.13887301496588275,-0.11876719486006264,False,0.0
68.0,1115,3068,1661,2036,1496,2414,2889,2476,1257,1957,1488,910,497,959,4416,3731,2508,1620,5504,6815,6595,3647,6986,8100,16386,15968,19402,18742,18901,19356,19742,14721,12242,9571,8189,3167,609,1864,1132,1746,1938,1288,783,1751,1499,1484,921,1812,2127,1612,961,2241,2286.319359805369,2364.367556295205,1792.4178794665168,2237.97915668932,2085.042472493042,2381.304363928374,2103.6180049128893,2353.1814987448065,2189.4040183387892,2404.860357281338,2247.8256706838956,2417.001877487887,2297.2931199724608,1.0,0,0.4,0.4,0.2,2243.124256623068,False,0.1053053367390977,0.7053053367390978,True,5832.0
72.0,19123,24673,22382,21590,17122,33862,23181,22613,18844,26196,25318,28342,28142,37739,57494,69981,59553,30021,35805,11521,29593,31032,36369,35377,35871,25870,30710,18217,18920,20609,15595,14313,13005,9840,18791,34613,22254,19959,18002,19864,11433,6438,18521,29385,22313,13790,10220,22075,40579,24036,1516,22474,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,21901.08085477714,2.0,0,0.3,0.2,0.2,21901.080854777134,False,0.0,0.4,False,0.0
