Farmer No.,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
19,"1,898","5,133","5,549","4,730","2,531","11,965","23,736","28,502","14,934","14,749","9,613","20,442","19,869","24,782","22,630","21,551","24,555","9,311","20,598","21,756","21,816","17,580","20,814","23,001","23,788","22,544","20,910","25,441","26,257","26,406","28,877","18,487","27,303","13,867","9,303","29,414","20,062","4,588","4,063","6,357","6,240","4,110","3,591",409,"4,983","6,301","11,082","9,619","8,779","16,466","8,787","5,371"
20,"16,737","80,094","85,153","78,569","41,315","53,345","59,079","11,156",0,"3,841","6,978","7,303","4,607","12,767","46,745","51,271","55,796","46,859","41,813","34,350","118,512","85,177","240,932","221,982","153,667","96,126","157,281","249,537","245,961","237,803","231,600","133,703","42,968",0,0,"2,678",0,0,0,0,0,928,"1,814","2,239","2,195","2,273",456,"1,356","2,670","3,248","1,834","2,284"
21,"3,612","2,840","6,355","6,395","4,036","7,780","7,997","7,587","3,531","10,138","10,521","12,808","5,748","27,811","22,325","26,439","24,013","23,498","31,584","35,561","50,364","32,888","37,615","38,577","26,718","21,770","28,257","34,980","16,202","21,829","12,614","29,776","22,243","38,396","31,639","24,317","36,019","17,943","2,823","12,052","8,278","5,020","6,963","7,558","2,528",0,0,0,0,0,0,"5,924"
22,0,"12,879","33,452","32,339","24,340","32,435","39,850","50,626","22,723","74,110","47,978","50,462","32,952","56,817","56,382","66,714","75,453","68,810","87,392","113,116","134,081","70,480","124,293","177,040","192,327","143,683","244,751","246,200","241,091","114,165","122,214","74,472","61,950","10,267","27,142","32,204","32,844","28,874","24,881","33,796","20,504","2,330",0,0,0,0,0,0,0,0,0,"2,636"
23,"222,446","224,385","165,878","85,609","88,645","105,090","118,154","92,065","37,940","126,483","90,177","68,606","122,439","182,413","253,435","79,122","90,365","77,105","67,946","71,960","90,244","90,199","197,683","163,837","190,722","238,669","240,484","191,939","245,788","199,929","134,843","97,195","99,576","76,963","27,196","16,647","15,805","5,928","22,942","27,599","9,083","21,677","102,108","58,059","13,838","1,577","26,726","41,489","98,504","64,776","65,222","103,845"
24,"28,657","45,780","65,208","50,243","22,832","24,349","59,447","64,058","45,710","154,108","162,418","208,563","155,235","249,079","295,686","333,106","279,864","341,706","327,374","298,393","416,076","403,367","486,056","491,569","533,735","494,963","670,160","547,619","686,219","435,506","466,034","292,854","210,020","127,240","18,365","3,026",0,0,0,0,0,0,0,0,0,0,0,"15,786","45,628","104,183","48,049","141,638"
25,"5,366","4,733","5,051","5,296","4,204","4,093","5,593","6,264","1,861","7,389","7,574","11,910","11,580","12,986","14,776","10,454","7,019","6,853","4,392","5,923","5,516","6,913","10,158","9,371","6,305","6,924","7,808","4,917","3,498","2,406","1,387",0,0,0,0,0,0,0,0,0,0,0,0,"7,493","11,310","15,346","2,616","1,355",179,"1,200",264,705
26,318,"1,085","1,835",0,"1,211","8,249","12,523","14,609","3,860","3,329","8,570","1,869","6,779","6,143","14,466","21,553","16,756","6,939","9,788","3,365","5,099","4,928","6,793","14,274","21,750","20,984","22,568","19,697","14,544",920,"3,708","2,011","6,111",104,205,"1,201",299,0,67,0,0,0,0,0,0,0,"1,283",0,270,"3,783","1,300","4,224"
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,429","36,692","61,107","76,950","89,824","75,996","121,721","205,942","104,104","87,874","150,079","147,807","93,108","9,348",0,0,0,0,0,"7,874",0,0,0,0,0,0,"1,865","15,572","31,981","13,975",0,"26,772"
28,685,239,0,0,0,0,0,0,0,0,219,"1,545","1,014","1,610","4,674","4,985","4,726","5,438","5,271","4,581","5,355","5,876","6,541","7,035","7,059","7,879","8,365","9,021","8,753","7,982","6,980","6,247","5,651","5,660","4,922","4,525","3,630","5,415","3,654","3,390","3,811","3,068","3,734","3,578","3,380","2,816","2,704","2,911","2,974","2,467","2,146","1,789"
29,"160,209","288,541","245,615","103,816","88,117","18,287","39,473","30,531","9,230","130,717","137,500","192,348","268,228","256,716","218,148","144,185","189,496","114,855","196,919","174,548","233,122","134,728","172,427","131,040","135,308","98,721","143,354","116,542","150,964","143,779","142,445","126,220","112,735","64,815","87,083","115,775","146,783","104,644","10,722","5,364","11,207",0,0,0,0,961,436,0,"1,046",957,0,381
30,"68,938","88,902","81,717","70,308","35,725","224,862","506,979","623,627","336,218","667,226","576,925","566,852","535,939","693,865","648,699","620,583","825,393","525,817","616,135","659,289","667,842","507,179","622,178","662,226","596,386","411,353","353,841","294,076","426,354","338,551","382,925","330,501","275,243","159,035","45,225","26,585",0,0,"9,165","8,895","6,839","18,725","11,630",0,0,"30,778","18,301","20,448","20,471","23,328","16,742","69,206"
31,"1,184",556,489,126,0,0,"9,939","21,588","13,487","39,463","31,485","40,841","53,008","21,985","5,956","4,029","4,881","4,732","4,758","5,598","7,461","7,483","8,741","13,223","13,277","14,762","14,704","7,590","6,311","6,520","6,537","6,066","5,153","2,615","2,926","2,763","2,970","2,966","2,032","3,009","1,966","2,521","3,203","2,807","6,643","8,480","7,974","7,361","6,346","1,995","2,824","1,553"
32,"47,313","260,600","455,277","393,747","309,626","247,768","266,480","224,656","130,100","381,917","370,325","329,635","361,865","494,830","927,472","622,467","451,606","321,065","364,764","359,381","347,423","295,072","271,228","326,396","329,426","218,596","225,180","148,730","102,349","103,822","114,302","98,629","133,850","49,899","58,720","80,866","54,532","100,014","68,320","52,901","2,338","4,889","3,149",0,0,0,0,0,"43,349","76,395","71,221","65,841"
33,"3,937","1,426","2,209",0,"1,294",0,666,0,0,0,0,0,479,994,"3,616","5,749","7,072","5,760","9,526","9,119","9,683","14,811","21,344","62,057","29,861","20,439","20,841","3,222","14,392","25,391","24,532","22,051","17,255","19,233","13,656","5,854","1,125","3,908",0,0,0,"1,518",0,"1,946","2,091",0,0,0,"2,125","2,261",954,"2,276"
34,"2,000",0,647,"8,344","3,273",0,"8,025","19,233","7,153","14,494","19,883","16,054","17,957","38,002","26,632","33,937","79,391","40,485","76,220","77,328","111,740","62,633","99,756","77,265","90,544","57,367","79,355","81,786","86,650","97,211","115,352","133,004","78,746","36,864","8,088","9,627","9,803","2,384",0,"3,631",0,"2,708","2,036",632,"8,955","10,223","3,389","1,904","10,469","3,378","1,645","4,413"
35,"31,883","30,625","32,996","29,390","9,280","20,319","15,127","16,941","8,639","22,866","13,360","17,460","19,834","28,244","36,040","26,700","18,882","5,928","12,307","21,588","30,134","28,824","27,121","27,871","64,070","19,994","14,403","12,013","13,174","20,440","34,234","62,327","27,132","18,083","17,134","28,605","64,731","38,588","36,324","12,698","10,852",0,0,0,0,"4,133","5,283","3,084","1,785",655,555,386
36,"4,178","5,301","6,730","6,527","6,535","7,820","7,283","7,790","5,369","12,633","9,805","9,148","9,173","9,795","9,265","9,646","8,092","7,791","8,239","9,020","9,477","9,169","9,009","9,370","9,831","9,616","9,837","8,570","7,661","6,650","6,159","5,278","3,908","3,291","2,476","1,987","1,884","2,560","1,916","2,104","1,718","1,372",979,938,666,538,615,583,493,"1,235","1,797","2,084"
37,950,913,791,375,475,435,158,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,828,640,265,"1,138"
38,0,202,"1,402",636,43,204,0,936,"1,381","6,886","1,871",815,"1,138","1,956","7,863","7,914","6,974","13,998","17,000","17,487","17,142","10,254","14,186","16,033","16,087","11,105","16,720","18,502","19,739","15,227","22,141","17,603","18,421","10,872","7,056","4,404","4,614","1,698","1,648","1,887","1,470","1,324","1,282","3,044","1,050","1,589","1,760","2,830",434,843,655,"1,506"
39,338,43,0,0,0,0,0,0,0,0,0,309,310,920,875,"1,023","1,203","1,110","1,296","2,163","2,200","2,653","3,922","4,274","4,319","3,877","4,119","3,697","3,107","3,192","3,356","3,351","3,284","2,681","2,947","2,459","2,915","2,886","2,262","2,386","2,432","1,620","1,802","1,754","2,335","2,017","2,195","1,973","1,781","1,980","1,762","2,166"
40,0,0,0,"1,174","3,004","5,460","4,398","4,126","1,852","5,258","4,829","3,903","1,749","4,634","5,650","6,493","10,230","11,639","9,693","10,459","12,953","15,751","17,420","11,159","7,002","9,734","9,439","9,616","8,407","7,664","7,374","5,297","5,675","4,692","3,217","3,679","2,328","9,594","15,519","17,956","17,959","14,895","13,854","3,784",0,0,0,0,"5,594","11,868","6,102","12,587"
41,"22,415","114,020","87,501","69,887","58,073","98,108","109,148","59,939","12,593","17,303","20,466","19,933",756,"5,346","35,276","69,057","86,426","53,773","79,142","43,921","71,446","71,611","72,493","82,135","71,018","15,590","51,540","40,829","31,868","29,712","30,156","26,002","18,747","14,322",0,0,"8,522","4,726",0,661,0,0,0,0,0,0,0,0,0,"5,649",0,"7,776"
42,"43,668","122,728","38,082","45,499","24,438","71,417","41,276","32,633","8,525","15,427","7,921","3,279","22,557","30,154","103,732","233,859","78,226","25,232",0,0,0,"25,824","62,719","30,975","25,615","20,219","26,648","24,391","14,491","18,036","5,774","2,516","3,201","1,117",0,"6,077",0,0,0,0,0,"7,674",0,0,0,0,0,0,0,0,"8,404","53,202"
43,"16,751","7,644","6,756","6,455","8,283","9,646","12,433","12,119","7,517","22,686","15,076","14,892","15,685","17,261","17,061","17,225","16,537","17,444","16,736","17,949","20,886","18,917","34,234","38,104","41,132","46,513","45,527","49,257","43,349","47,059","48,754","45,263","43,285","40,447","17,217","6,816","4,305","3,737","7,256","4,974","2,653","2,944","8,804","2,026","1,829","1,788","2,119","4,248","4,697","4,645","3,606","6,886"
44,0,"1,327","7,462","31,593",0,"5,261",483,"5,932","1,250",0,0,0,"1,160","9,258","4,845","9,515","12,531",0,0,0,0,0,0,"1,001","16,636","26,780","29,647","93,508","110,324","102,637","44,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983
45,"4,387","2,531","2,286","1,938","1,125","2,578","2,893",704,882,"7,917","13,253","6,461","9,569","28,743","38,571","34,151","39,176","42,279","38,568","43,092","44,443","32,674","32,673","36,008","37,535","36,377","33,809","36,315","33,738","26,913","25,206","25,582","23,531","20,129","23,424","20,446","20,110","16,233","14,754","14,796","12,735","16,927","34,448","25,185","18,638","16,228","21,590","16,546","16,140","19,578","18,225","21,962"
46,0,0,217,"1,407","1,718","1,291","1,018",607,"1,416","2,292","1,646","1,819","2,578","2,167","3,586","3,228","1,555","2,021","2,726","2,130","1,716","2,261","1,363",589,"2,041","1,691","1,474","1,968",878,"1,436","1,042",406,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"5,971","6,220","6,501","5,615","4,452","4,991","4,779","5,270","4,241","8,967","5,588","6,021","5,640","5,624","6,351","7,627","6,107","6,257","10,165","8,357","9,135","7,652","5,998","8,219","10,151","10,199","12,149","8,785","6,842","5,142","4,918","4,807","3,401","3,333","2,411","2,475","2,089","1,575",101,500,742,"1,181","1,235","1,445",976,"2,587","3,147","4,224","5,124","4,556","3,692","5,214"
48,"1,592","3,749","2,874","2,288","2,051","2,612","4,314","2,549","1,484","4,209","4,105","4,169","4,414","5,188","6,583","7,504","8,854","6,665","9,091","10,301","11,697","8,959","9,939","9,069","7,828","8,341","10,848","12,006","10,160","11,732","9,712","8,230","8,727","8,978","6,600","7,817","8,112","8,219","8,887","7,112","4,579","4,327","4,984","4,770","5,696","2,619","1,332","4,685","5,777","5,270","3,414","2,248"
49,"50,934","34,179","39,613","43,930","33,415","34,686","32,167","35,740","1,126","46,060","33,556","29,380","34,129","30,861","35,340","33,626","41,324","35,086","39,472","38,529","39,340","46,572","38,519","41,755","34,771","30,569","35,726","42,826","39,989","45,858","43,999","40,727","39,923","42,378","42,061","39,263","28,652","20,379","32,347","24,027","16,973","19,412","16,729",0,"6,660","12,834","23,187","23,694","27,947","30,966","23,940","30,225"
50,"7,456","3,380",923,"1,051","2,165","8,438",0,"8,245",0,"3,124","2,317",976,"21,367","55,369","35,013","79,673","48,690","58,838","82,771","104,721","25,383",0,"66,057","139,156","206,733","111,726","195,371","132,499","132,115","130,778","154,354","126,919","81,701","71,183","47,851","56,961","46,895","27,204","18,641","17,767","13,492","13,417","24,337","15,668","27,458","31,771","15,403","25,189","18,378","14,008","3,143","9,020"
51,"1,313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,472","1,115","4,478","4,482","3,641","3,131","3,512","4,937","3,672","3,271","4,535","3,829","4,046","3,722","3,319","4,918","4,065","3,562","3,378","3,867","3,234","3,445","2,256","2,223","1,262","1,320","2,242","2,330","1,839","2,484","3,101","1,927",905,829,743,965
52,"1,794","3,367","2,296","3,007",419,"4,628","135,563","201,426",0,0,"60,663","239,044","152,303","264,802","200,783","593,077","151,934","125,941","77,415","31,180","185,670","71,180","80,895","99,636","97,008","21,412","110,954","209,800","207,689","181,537","166,761","135,322","129,508","35,398","5,479",984,"2,330","14,391",0,"2,361","32,923","65,538","18,908","37,917","42,883","22,700","18,451","30,277","10,843","7,811","11,439","23,230"
53,"1,835","1,285",376,0,0,0,0,"2,843",889,0,0,0,0,0,924,528,515,"2,465","4,696","7,535","12,617","6,022","10,699","16,491","29,075","26,325","32,685","31,448","32,374","18,336","33,344","9,523","7,553","4,358",0,"1,451","1,803","1,464",958,371,0,642,0,0,0,0,0,0,0,0,0,"1,313"
54,"17,565","5,266","6,594",293,"2,107",0,0,0,0,0,0,0,0,"2,058","3,319","7,595","1,622",0,0,0,122,0,0,"8,332",0,0,0,0,0,205,222,"17,371","13,093",0,"50,013","53,739","49,609","48,685","40,046","31,277","23,589","23,541","29,883","19,872","22,877","22,076","18,677","21,513","20,857","18,713","16,415","15,944"
55,704,704,705,716,520,"1,422",734,787,573,"1,274",575,247,0,0,475,132,0,0,0,"1,264","1,444","1,041","1,347",450,991,801,"2,232","1,368","1,010","1,454",851,511,738,773,859,658,717,671,590,858,611,126,228,0,"2,319","2,482","1,680",968,986,"1,042","1,509","1,689"
56,"1,209",421,791,664,574,763,"1,063","1,063",658,"1,229","1,048",999,941,"1,111","1,059","1,058","1,111",940,669,858,797,599,770,785,"1,646","2,545","2,922","3,276","3,277","2,974","3,030","3,202","3,055","2,728","2,421","1,917","2,257","2,073","1,889","1,664","1,396","1,537","1,667","2,085","1,952","2,074","1,661","1,659","1,637","1,595","1,044","1,281"
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,101","2,652","2,903","2,338","2,598","4,121","4,920","1,934","1,291","2,638","2,307","1,410","1,409","4,780","9,020"
58,"36,042","28,240","48,165","80,907","92,459","63,894","30,708","39,350","32,644","62,804","69,499","60,160","102,745","70,784","9,994","6,295","22,657","43,066","98,681","37,313","62,950","61,341","69,090","60,790","61,224","67,772","85,722","74,254","100,971","95,801","94,641","83,648","36,196",0,"31,102","21,840","38,166","27,068","26,771","19,485","20,503","24,795","25,661","9,096","6,448","3,259","10,783","13,064","13,185","8,304","11,027","7,105"
59,"18,425","3,963","6,818","7,638","3,668","3,001","1,937","2,538",841,"3,083","5,196","5,751","6,685","6,527","6,106","9,440","15,905","7,098","5,830","9,167","5,477","5,004","73,468","115,414","116,021","106,652","84,041","85,115","109,853","127,073","110,212","73,595","49,833","15,568","9,823","13,677","14,453","6,209","6,419","5,311","7,020","6,344","8,858","6,707","9,054","6,917","8,368","7,374","7,220","7,355","5,793","6,341"
60,"54,683","37,994","32,169","42,626","34,980","39,848","33,208","45,646","14,057","36,845","18,669","21,066","19,180","23,919","46,784","55,910","47,739","51,457","31,114","34,958","91,162","113,102","119,363","103,024","107,616","100,687","112,725","139,415","129,947","129,606","110,552","89,837","38,533",0,"40,157","67,915","77,860","72,990","67,502","42,243","44,572","21,472","71,079",0,0,0,"10,784","27,623","43,348","33,109","19,058","24,980"
61,"2,111",332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,"1,401","1,241","1,518","2,409","4,181","4,242","4,527","4,510","3,898","4,738","4,217","4,754","3,820","4,190","3,465","3,096",0,0,0,0,"4,123","5,087","5,336","4,287","4,239","4,274","4,038","4,537","2,331","4,010"
62,"1,250",773,536,500,435,464,251,215,153,385,271,269,502,656,"1,396","2,066","2,827","2,938","1,727",0,"1,752","2,277","1,939","2,264","2,211","2,908","4,452","4,247","4,087","4,392","4,339","2,357","3,125","3,136","3,698","3,344","1,759","1,656","1,762","1,795","2,176","2,800","2,129","1,467","1,552","1,506","1,354","1,679","1,035","1,005",161,"1,129"
63,"10,917","1,992","34,937","34,411","27,470","30,447","12,691","3,708",0,0,"8,104","18,007","27,715","74,536","119,390","108,705","78,561","46,491","47,346","51,502","145,887","239,164","551,339","567,657","596,926","446,775","214,865","156,467","192,233","241,975","224,659","57,959","42,710","2,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,045",0,"11,724"
64,0,0,0,0,0,0,0,0,0,0,0,"1,909",650,"6,973","9,381","9,227","7,754","5,224","7,823","8,937","8,695","7,493","9,127","10,740","9,550","7,153","9,696","9,277","10,366","8,468","8,911","10,290","10,477","8,968","8,412","9,813","9,924","9,475","7,940","9,264","7,777","8,612","6,445","8,160","7,200","7,193","4,703","6,258","7,233","6,103","2,592","5,129"
65,"2,658",0,0,0,0,0,0,0,0,0,0,0,0,"11,002","16,620","40,031","31,625","24,048","39,259","44,666","46,125","42,832","92,891","85,030","82,516","58,496","88,026","72,653","82,722","76,213","88,370","82,465","59,076","37,235","25,451","25,150","24,607","22,297","14,305","18,444","10,666","13,427","6,231","9,030","7,356","7,667","5,776","6,439","6,151","6,421","2,273","5,772"
66,"1,978","42,665","39,700","55,542","28,822","51,049","58,007","71,972","44,111","73,102","64,164","74,321","47,455","66,947","118,417","88,059","152,965","88,568","106,017","111,211","97,117","115,997","129,845","202,320","193,183","184,520","211,470","262,360","227,871","218,648","220,604","148,554","85,430","59,749","38,646","35,322","25,028","15,650","15,468","20,712","14,311","15,755","9,388","13,724","14,710","15,294","12,470","15,895","17,362","17,735","14,896","16,625"
67,"4,850","25,662","14,671","16,957","5,944","28,123","5,610","3,151",996,0,0,0,0,"4,724","12,179","5,288","8,439","4,105","5,907","56,284","53,330","21,922","57,350","129,626","110,585","87,288","105,043","157,217","107,026","96,313","84,804","51,370","7,588",0,0,"6,311","2,854","2,813","3,822","3,565",899,"15,611","4,569",0,0,0,141,"4,712","5,613","5,692","1,223","3,401"
68,"1,115","3,068","1,661","2,036","1,496","2,414","2,889","2,476","1,257","1,957","1,488",910,497,959,"4,416","3,731","2,508","1,620","5,504","6,815","6,595","3,647","6,986","8,100","16,386","15,968","19,402","18,742","18,901","19,356","19,742","14,721","12,242","9,571","8,189","3,167",609,"1,864","1,132","1,746","1,938","1,288",783,"1,751","1,499","1,484",921,"1,812","2,127","1,612",961,"2,241"
69,"1,958","1,084",423,0,0,0,0,0,0,0,135,0,0,0,74,0,0,0,"2,929","14,100","13,082","12,347","13,341","1,593","2,052","1,215",611,693,730,"1,738","2,608",640,282,0,0,0,0,0,564,336,286,333,275,0,0,0,0,0,119,423,674,104
70,"43,072","37,376","43,531","34,442","27,899","37,644","29,544","25,556","6,204","18,943","18,334","36,795","101,136","187,448","204,146","271,626","133,857","111,789","111,395","113,856","75,646","83,753","236,403","249,235","217,944","75,358","107,005","107,899","122,805","129,285","64,330","28,458","15,513",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,229",385,"1,290",861,"2,421",934
71,"2,646",498,887,82,0,0,0,0,0,0,0,41,0,874,474,655,0,43,477,0,0,0,0,0,0,0,0,88,0,120,202,0,"2,734",0,0,307,"1,024","1,306",0,"1,132",0,"3,269",0,0,0,0,0,0,"3,384",78,"1,261","3,123"
72,"19,123","24,673","22,382","21,590","17,122","33,862","23,181","22,613","18,844","26,196","25,318","28,342","28,142","37,739","57,494","69,981","59,553","30,021","35,805","11,521","29,593","31,032","36,369","35,377","35,871","25,870","30,710","18,217","18,920","20,609","15,595","14,313","13,005","9,840","18,791","34,613","22,254","19,959","18,002","19,864","11,433","6,438","18,521","29,385","22,313","13,790","10,220","22,075","40,579","24,036","1,516","22,474"
73,0,0,0,0,0,0,234,0,0,664,"1,321","1,580","2,799","3,093","3,078","2,586","2,931","4,492","2,894","3,598","3,369","3,532","4,038","4,384","5,239","6,116","7,747","7,286","7,692","7,598","7,281","6,948","6,615","6,526","6,052","5,407","5,707","5,037","5,204","5,482","5,260","4,372","5,144","4,553","4,371","4,774","4,391","4,360","4,545","3,179","2,483","2,595"
